Instagram Make up (With subs) Singapore Trip Makeup Tutorial 인스타 메이크업-싱가폴 출장 메이크업,https://youtu.be/bNYNbGKGcbw,23:28,1878591,2016. 1. 3.,https://img.youtube.com/vi/bNYNbGKGcbw/0.jpg,베네피트 (benefit) 더 포어페셔널 ,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 내추럴 베이지,클리오 킬커버 프로 아티스트 리퀴드 컨실러 03리넨,이글립스 파우더 팩트 블러팩트(9g),포니 X 미미박스샤인이지글램 1,삐아 라스트 펜 아이라이너 샤픈 브라운,샤넬 이니미터블 ,토니모리 (TONYMORY) 크리스탈 블러셔 3호 플레져 피치,,,,,,,,,,,,
Shanghai Trip ‘get ready with me’ (With subs) 중국 상해 출장 겟레디윗미! GRWM,https://youtu.be/Gqa9svhOHCo,28:55:00,6177190,2016. 7. 11.,https://img.youtube.com/vi/Gqa9svhOHCo/0.jpg,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR401 까페라떼,베네피트 (benefit) 더 포어페셔널 ,토니모리딜라이트 베이비돌 메이크업 베이스# 02 클리어라벤더,에뛰드하우스 진주알 맑은 애니 쿠션 진주 아우라 [SPF50+/PA+++] 라이트 베이지,베네피트 (benefit) 페이크 업 01 라이트,클리오 킬커버 프로 아티스트 스틱 컨실러 3호,미미박스 X 포니샤인 이지 글램 1,미샤워터프루프 드로잉 아이 펜슬# 미드나잇 드림,에뛰드하우스 플레이 101 펜슬 - 아이 #8,이글립스스틱 섀도우# 05 비치,삐아 라스트 펜 아이라이너 샤픈 브라운,페리페라 (peripera) 홀리 딥 마스카라 3호 4mm 쭉쭉래쉬 마스카라,스킨푸드청포도 프레시 라이트 팩트# 13 라이트베이지,베네피트 (benefit) 훌라 ,맥 (MAC) 파우더 블러쉬 데임,캣 본 디 에버라스팅 리퀴드 립스틱# 롤리타,캣 본 디 에버라스팅 리퀴드 립스틱# 더블 데어,,,
Apricot Make (With subs) 살구 메이크업,https://youtu.be/AvK3g2Va-2c,18:22,6526161,2016. 7. 21.,https://img.youtube.com/vi/AvK3g2Va-2c/0.jpg,베네피트 (benefit) 이레이즈 페이스트 1호 페어,아멜리플랫립스# 917 에프리콧 치즈,클리오프로 싱글 섀도우# M43 우드,아르데코소프트 아이라이너 워터프루프# 10 블랙,아리따움 마이크로 마스카라 1호 느와르블랙,베네피트 (benefit) 데아 리얼 랭스닝 마스카라 비욘드브라운,에뛰드하우스 플레이 101 펜슬 - 아이 #8,삐아 라스트 펜 아이라이너 레드 브라운,이글립스 리얼 컬러 립스틱 27 써니,미샤실키 래스팅 립 펜슬# 건파이어,,,,,,,,,,
Natural Make up (With subs) 내추럴 메이크업,https://youtu.be/tRUGnDVnI60,15:17,9976850,2016. 8. 9.,https://img.youtube.com/vi/tRUGnDVnI60/0.jpg,안녕하세요 포니입니다!입술에 사용한 립제품은 제품 자체에도 컬러가 기입이 안 돼있고구글링을 아무리 해봐도 넘버가 안나와요 ㅠㅠ구입하실 때 톤 다운 된 장미빛 컬러를 기억하시고 구입하세요!!!AVENESUN VERY HIGH PROTECTION SUN CREAM SPF50+아벤느선 베리 하이 프로텍션 선 크림 SPF50+,조르지오아르마니블러싱 패브릭# 01 페탈 코랄,에뛰드하우스제로피지 드라잉 파우더,에뛰드하우스 플레이 101 펜슬 - 립 #33,"삐아 라스트 오토 젤 아이라이너 B5소울브라운
L1미스클래식",아리따움 마이크로 마스카라 1호 느와르블랙,,,,,,,,,,,,,,
Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://youtu.be/VM9_5yI4mfQ,30:08:00,4392326,2016. 10. 31.,https://img.youtube.com/vi/VM9_5yI4mfQ/0.jpg,토니모리치크톤 컨투어 듀오# CT02 내추럴 브라운,에스쁘아프로 테일러 리퀴드 파운데이션 SPF25 PA++#PFT,베네피트 (benefit) 포지틴트 ,어퓨 오일 컨트롤 필름 팩트 1호 소프트핑크,더 페이스샵 디자이닝 브로우카라# 01 블론드 브라운,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,에뛰드하우스 플레이 컬러 아이즈 [피치팜] 상큼 자몽티,더페이스샵 싱글 섀도우(매트) BR04 쿠키브라운,삐아 라스트 오토 젤 아이라이너 10느와르,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 5 멜로우 코랄,베네피트그루밍 트위저 & 브러쉬,삐아 라스트 펜 아이라이너 샤픈 브라운,삐아 라스트 펜 아이라이너 샤픈 브라운,에뛰드 하우스러블리 쿠키 블러셔# 6 그레이프후르츠 젤리,베네피트베네 틴트,더바디샵 플레이버드 립글로스# 리치,,,,
Pony in LA,https://youtu.be/JMClWKtLndY,12:35,2510392,2017. 3. 11.,https://img.youtube.com/vi/JMClWKtLndY/0.jpg,+ 본 영상은 디올과 함께 합니다. +DiorDiorskinFOREVER PERPECT CUSHION# 011 CREA,디올 스킨 포에버 퍼펙트 쿠션 011 크림,디올 디올스킨 스타 컨실러 002 BEIGE,디올캡춰 토탈 루스 파우더# 001 브라이트 라이트,디올디올스킨 누드 에어 루스 파우더# 030 미디엄 베이지,디올올,디올 크레용 아이라이너 워터프루프 594,디올크레용 아이라이너 워터프루프# 094 트리니다드 블랙,디올디올쇼 아이코닉 오버컬 마스카라# 090 블랙,디올 어딕트 라커 스틱 877turn me dior,,,,,,,,,,
Instagram Live broadcast Make up (With sub) 인스타그램 라이브 방송 메이크업,https://youtu.be/9sfdPfojPmY,19:03,6897650,2017. 6. 8.,https://img.youtube.com/vi/9sfdPfojPmY/0.jpg,에뛰드 하우스플레이 101 스틱 파운데이션# 01 페어,어퓨 오일 컨트롤 필름 팩트 2호 스킨베이지,타르트타르틀렛 인 블룸 클레이 팔레트,토니모리 (TONYMORY) 백젤 리얼핏 워터프루프 라이너 02 젤브라운,DIOREYELASH CURLER 디올아이래쉬컬러,"베네피트 (benefit) 롤러래시 컬링 마스카라 블랙

*전 성분은 브라운 을 기준으로 등록되었습니다.",토니모리 (TONYMORY) 크리스탈 블러셔 3호 플레져 피치,베네피트 (benefit) 훌라 ,,,,,,,,,,,,
Makeup (With sub) 두근두근 메이크업,https://youtu.be/B3eF7RP0VvM,18:30,2410540,2017. 8. 10.,https://img.youtube.com/vi/B3eF7RP0VvM/0.jpg,크리니크컨실러 브러쉬,SKINFOODWHITE GRAPE FRESH LIGHT PACT# 13 LIGHT BEIGE 스킨푸드청포도 프레시 라이트 팩트# 13 라이트 베이지,CANMAKEMIX EYEBROW# 03 SOFT BROWN 캔메이크믹스 아이브로우# 03 소프트 브라운,맥파워포인트 아이 펜슬# 바운티풀 브라운,에뛰드하우스 플레이 101 펜슬 - 아이 #4,SHU UEMURAGLOW ON# M SOFT PINK 326 슈에무라글로우 온# M 소프트 핑크 326,,,,,,,,,,,,,,
10년 전 포니 메이크업 따라하기! (With sub) Following Pony’s Makeup from 10 years ago,https://youtu.be/hgutyYNVK2Q,22:11,1907137,2017. 8. 22.,https://img.youtube.com/vi/hgutyYNVK2Q/0.jpg,문샷 마이크로 세팅핏 쿠션 [SPF50+/PA+++] 101 아이보리,캔메이크모이스트 래스팅 커버컬러 스틱 # 02,크리니크컨실러 브러쉬,디올디올스킨 누드 에어 루스 파우더# 020 라이트베이지,CANMAKEMIX EYEBROW# 03 SOFT BROWN 캔메이크믹스 아이브로우# 03 소프트 브라운,에뛰드 하우스드로잉 아이브로우 듀오# 04 레드 브라운,디올25 브로우 브러쉬,에뛰드하우스 룩 앳 마이 아이즈 [카페] BR401 까페라떼,더 페이스샵심플드로우 아이펜슬# 01 블랙,크리니크래쉬 파워 볼류마이징 마스카라# 01 블랙 오닉스,SHU UEMURAGLOW ON# M SOFT PINK 326 슈에무라글로우 온# M 소프트 핑크 326,베네피트베네틴트,,,,,,,,
포니 더 글로브트롯터 - 스파클링 메이크업 GRWM - 방콕 편 (With sub),https://youtu.be/q-6qSyWrMxE,43:37:00,1298919,2017. 9. 24.,https://img.youtube.com/vi/q-6qSyWrMxE/0.jpg,에뛰드 하우스픽스 앤 픽스 포어 프라이머,캔메이크모이스트 래스팅 커버컬러 스틱 # 02,크리니크컨실러 브러쉬,라네즈새틴 피니시 루스파우더_EX# 01 퓨어 내츄럴,에뛰드 하우스드로잉 아이브로우 듀오# 04 레드 브라운,에뛰드 하우스청순 거짓 브라우 카라# 04 내추럴 브라운,홀리카홀리카피스 매칭 섀도우[매트]# MGA01,토니모리 (TONYMORY) 백젤 리얼핏 워터프루프 라이너 02 젤브라운,DIOREYELASH CURLER 디올아이래쉬컬러,페어리드롭스 (FAIRYDROPS) 플래티넘 나인투나인 스태리아이즈 젤아이라이너 15호 더스티 시더,크리니크리드 팝# 02 크림 팝,홀리카홀리카피스 매칭 섀도우[호일]# FBE01 ,더 페이스샵크리미 터치 립라이너# BE01 베이지가든,,,,,,,
