현아 베베 메이크업 HyunA_BABE Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/43v8RSJ45YQ,15:13,718060,2017. 9. 19.,https://img.youtube.com/vi/43v8RSJ45YQ/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 꽃집아가씨 분위기 메이크업 Florist Inspired Makeup l 이사배(Risabae Makeup),https://youtu.be/dLrhM-Dl8bQ,14:40,715432,2017. 8. 23.,https://img.youtube.com/vi/dLrhM-Dl8bQ/0.jpg,에스쁘아 프로 테일러 파운데이션 비 실크 [SPF34/PA++] 페탈 P,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤), RMK 인지니어스크림&파우더 아이즈 02 베이지골,미샤 컬러빔 블러셔 라벤더 폴렌, 캔메이크 CANMAKE 매트플로어치크 01 코랄 애프리콧 Mat Fleur Cheeks #01,,,,,,,,,,
인어공주 애리얼 메이크업 ‘The Little Mermaid' Ariel Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/wp75FVvgcdo,11:12,514795,2017. 8. 17.,https://img.youtube.com/vi/wp75FVvgcdo/0.jpg, 로라메르시에 laura mercier 미네랄 피니싱파우더 #,,,,,,,,,,,,,,
[바캉스 메이크업 Summer Vacation Makeup Tutorial] l 이사배(Risabae Makeup),https://youtu.be/wzHczMiCmXs,15:33,368071,2017. 8. 14.,https://img.youtube.com/vi/wzHczMiCmXs/0.jpg,클리오 킬커버 프로 아티스트 리퀴드 컨실러 03리넨,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),로라메르시에 캔들 글로우 파운데이션 creme,라로슈포제 세범 컨트롤 토닝 미스트 세로징크 ,닥터자르트 더메이크업 비비 메이트 컨투어 - 쉐이딩(브론징) ,삐아 라스트 블러쉬 - 쉐딩 08 피넛 블로썸,캔메이크 (CANMAKE) 퀵 이지 아이라이너 01 딥블랙,조르지오아르마니 립 마그넷 400,,,,,,,
쥬얼리 화보st 메이크업 Jewelry Magazine st. Makeup l 이사배(Risabae Makeup),https://youtu.be/AOTqcCQ1dlQ,11:39,359067,2017. 8. 8.,https://img.youtube.com/vi/AOTqcCQ1dlQ/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 동양미 메이크업 Asian Beauty makeup l 이사배(Risabae Makeup),https://youtu.be/78QvLYrOBNs,8:30,953971,2017. 8. 3.,https://img.youtube.com/vi/78QvLYrOBNs/0.jpg,더페이스샵 잉크래스팅 파운데이션 슬림핏 [SPF30/PA++] N201 애프리콧 베이지,맥 (MAC) 스튜디오 컨실러 앤 코렉트 팔레트 라이트,맥 (MAC) 그레이트 브로우 스파이크드,클리오 (CLIO) 프로 싱글 섀도우 스킨,맥 (MAC) 그레이트 브로우 링거링,이글립스 애플핏 블러셔 04 탠저린코랄,릴리바이레드 스태리아이즈 나인투나인 06 매트블,슈에무라 루즈 언리미티드 슈프림 마뜨 RD14,맥 (MAC) 립글라스 러시안 레드,,,,,,
[MAC X 이사배] 맥 선키스드 메이크업 Sunkissed Makeup l 이사배(Risabae Makeup),https://youtu.be/fEegFucMCZw,16:10,462795,2017. 8. 1.,https://img.youtube.com/vi/fEegFucMCZw/0.jpg,맥 (MAC) 스튜디오 픽스 플루이드 파운데이션 발란싱 콤플렉스 [SPF15/PA++] NC30,맥프로 컨실 앤 코렉트 팔레트 라이트/미디움 ,맥 (MAC) 캐주얼 컬러 ,맥 (MAC) 미네랄라이즈 스킨피니쉬 ,브론징파우더맥리파인드 골든 브론징파우,맥 (MAC) 브론징 파우더 리파인드 골든,브로우 맥그레이트 브로우 링거링 GREAT BROWS LINGERIN,맥 프로롱웨어 워터프루프 브로우 세트 브라운 에보,맥 (MAC) 빅 브로우 펜슬 플링,BROW SCULPT BROW PENCIL FLING+맥그레이트 브로우 링거링 GREAT BROWS LINGERING,맥 (MAC) 엑스트라 디멘션 스킨피니쉬 DoubleGleam,맥 (MAC) 롤러휠 리퀴드 라이너 롤러휠 브라운,맥 (MAC) 캐주얼 컬러 ,,
[Eng/Thai] 레전드 증명사진 메이크업 Makeup for your ID card picture l 이사배(Risabae Makeup),https://youtu.be/SeKUiL_HEtw,16:40,2282749,2017. 7. 21.,https://img.youtube.com/vi/SeKUiL_HEtw/0.jpg,더페이스샵 잉크래스팅 파운데이션 슬림핏 [SPF30/PA++] N203 내추럴 베이지,꾸셀 펜슬 컨실러 ,홀리카홀리카 원더드로잉 스키니 아이브로우 01 애쉬블랙 02 다크브라운 03 라이트브라운 04 레드브라운,라네즈 아이디얼 섀도우 쿼드 2호 카페 솔로,릴리바이레드 (lilybyred) 스태리 아이즈 나인투나인 젤 아이라이너 06 매트블랙,삐아 라스트 펜 아이라이너 초코 브라운,,,,,,,,,
[ENG] 매일 5분! 완벽 쉐이딩하기! l 이사배(Risabae Makeup),https://youtu.be/qH5mTT2aEdA,6:17,551658,2017. 7. 17.,https://img.youtube.com/vi/qH5mTT2aEdA/0.jpg,,,,,,,,,,,,,,,
[Eng] 백투베이직 쉐딩편 -나에게 맞는 쉐딩찾기- l 이사배(Risabae Makeup),https://youtu.be/pNIzVFvCNe4,19:26,1294842,2017. 7. 14.,https://img.youtube.com/vi/pNIzVFvCNe4/0.jpg,,,,,,,,,,,,,,,
[Eng/ Thai] 여름장마철 뽀송데일리메이크업 Summer Daily Makeup for Rainy Days l 이사배(Risabae Makeup),https://youtu.be/IAB956UvnTQ,17:48,875745,2017. 7. 11.,https://img.youtube.com/vi/IAB956UvnTQ/0.jpg,,,,,,,,,,,,,,,
[GRWM] 겟레디윗미 + 여행 롱웨어 메이크업 팁 l 이사배(Risabae Makeup),https://youtu.be/tllkYP517Vk,28:13:00,885976,2017. 6. 8.,https://img.youtube.com/vi/tllkYP517Vk/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 파리에서 했던 메이크업 Makeup in Paris l 이사배(Risabae Makeup),https://youtu.be/UHLNb0nNtCY,18:26,687267,2017. 6. 2.,https://img.youtube.com/vi/UHLNb0nNtCY/0.jpg,인텐시브 스킨 세럼 코렉터 10 라이트피,메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 프레스드 파우더 ,,,,,,,,,,,,,
[Eng/Thai/Jpn] 세포라에서 산 제품으로 메이크업 SEPHORA Cosmetic Items l 이사배 (RISABAE Makeup),https://youtu.be/HQHlz87833o,12:16,318138,2017. 5. 19.,https://img.youtube.com/vi/HQHlz87833o/0.jpg,릴리바이레드 (lilybyred) 스태리 아이즈 슬림 아이라이너 02 매트브라운,,,,,,,,,,,,,,
청순 데일리메이크업 Daily Makeupl 이사배(Risabae Makeup),https://youtu.be/2ts-0xfNsag,15:29,867759,2017. 5. 12.,https://img.youtube.com/vi/2ts-0xfNsag/0.jpg,인스턴트 스킨 인핸서 브라이트,,,,,,,,,,,,,,
[Eng/Thai] 딸기 메이크업 STRAWBERRY MAKE UP l 이사배(Risabae Makeup),https://youtu.be/ZPRZYJZUygU,13:04,508780,2017. 5. 2.,https://img.youtube.com/vi/ZPRZYJZUygU/0.jpg,,,,,,,,,,,,,,,
