Overcoming the fear of PINK : Cherry Blossom Pink | SSIN,https://youtu.be/Fv5yadBm0sM,15:25,275057,2019. 4. 5.,https://img.youtube.com/vi/Fv5yadBm0sM/0.jpg,베네피트 (benefit) 더 포어페셔널: 펄 프라이머 ,컬러그램 타고난 톤업 커버 쿠션 [SPF35/PA++] 21호 인간복숭아,페리페라 에어리 잉크 파운데이션 002 베이지,나스 (NARS) 래디언트 크리미 컨실러 마들렌(래디언스 리파워드 캠페인),케이트 (KATE) 수퍼 샤프 라이너 A 내추럴 브라운,맥 (MAC) 익스텐디드 플레이 기가 블랙 래쉬 ,미샤 코튼 컨투어 스모크드 헤이즐,베네피트 (benefit) 단델리온 트윙클 ,아리따움 틴트 인 워터 04 필 소 굿,바비 브라운 아트 스틱 리퀴드 립 파파야,,,,,,,,,,,,,,,,,,,,,,,
메이크업 Overcoming the fear of MINT | SSIN,https://youtu.be/SC89w1QfXFk,13:48,376590,2019. 3. 8.,https://img.youtube.com/vi/SC89w1QfXFk/0.jpg,베네피트 (benefit) 더 포어페셔널: 펄 프라이머 ,디올 픽스 잇 컬러 400그린,네이처리퍼블릭 프로방스 에어 스킨 핏 메이크업 베이스 [SPF30+/PA++] 그린,나스 (NARS) 래디언트 크리미 컨실러 커스터드,루나 프로 마일드 피니셔 ,페리페라 잉크래스팅 민트 쿠션 [SPF50+/PA+++] 002 베이지,아나스타샤 베버리 힐즈 (ANASTASIA BEVERLY HILLS) 브로우 위즈 토프,웨이크메이크 (WAKEMAKE) 포켓스타일러 02 드레스 업 글리터,더페이스샵 초코 모노팝 아이즈 01 다크초콜렛,아리따움 아이돌 브러쉬라이너 2호 브라운,디어달리아 파라다이스 오로라 샤인 립 트리트먼트 스타더스트,,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Living Coral Pink | SSIN,https://youtu.be/nrCDmLWdwS0,11:24,253480,2019. 1. 24.,https://img.youtube.com/vi/nrCDmLWdwS0/0.jpg,라네즈 립 슬리핑 마스크 자몽,맥 (MAC) 프렙 프라임 하이라이터 브라이트 포캐스트(피치),미샤 코튼 컨투어 슈가 토스트,미샤 코튼 컨투어 스모크드 헤이즐,아리따움 아이돌 리얼 래쉬 픽서 ,베네피트 (benefit) 프리사이슬리 마이 브로우 펜슬 3 웜 라이트 브라운,문샷 더 퍼스트 문 드로잉 와이어리스 1916,맥 (MAC) 프로 롱웨어 워터프루프 브로우 세트 레드 체스트넛,맥 (MAC) 프로 롱웨어 페인트 팟 베어 스터디,에뛰드하우스 플레이 컬러 멀티 팔레트 스팽글 드레스룸,디어달리아 파라다이스 오로라 샤인 립 트리트먼트 모닝듀,디어달리아 파라다이스 오로라 샤인 립 트리트먼트 스타더스트,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Reddish Pink | SSIN,https://youtu.be/YO5gHCcunKA,10:52,437241,2018. 12. 25.,https://img.youtube.com/vi/YO5gHCcunKA/0.jpg,메디큐브 (medicube) 레드 이레이징 크림 ,베네피트 (benefit) 더 포어페셔널: 펄 프라이머 ,클리오 킬커버 리퀴드 컨실러 003 리넨,에뛰드하우스 (루돌프 커밍 투 타운) 래쉬 펌 컬 픽스 마스카라 블랙,아이크라운 쇼미 더 드레스 카라 로지버건디 ,디올 루즈 디올 울트라 루즈 777 울트라 스타,미샤 터치 온 컨투어 팔레트 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Muted Pink | SSIN,https://youtu.be/-2KMWCTD1y8,14:17,551796,2018. 10. 5.,https://img.youtube.com/vi/-2KMWCTD1y8/0.jpg,슈에무라 딥씨 워터 - 로즈 ,아리따움 리얼 앰플 컬러코렉터 4호 피치 베이지,바닐라코 더 시크릿 마블링 블러셔 04 Fantasia,베네피트 (benefit) 프리사이슬리 마이 브로우 펜슬 2 웜 골든 블론드,문샷 더 퍼스트 문 드로잉 에어리 1605 다크 핑크 펄,맥 (MAC) 대즐 섀도우 슬로우패스트슬로우,나스 (NARS) 아이페인트 메소포타미아(브라운),입생로랑 마스카라 볼륨 에페 포 실 더 컬러 1. 리벨리어스 블랙(스머지 프루프),네이처리퍼블릭 글리터 라이너 03 칵테일핑크,입생로랑 풀 메탈 섀도 PINK CASCADE 6,,,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Baby Pink | SSIN,https://youtu.be/AaTrlx7JctE,14:52,683390,2018. 8. 10.,https://img.youtube.com/vi/AaTrlx7JctE/0.jpg,슈에무라 스킨 퍼펙터 미스트 벚꽃(사쿠라) ,바닐라코 디어 하이드레이션 페이셜 미스트 ,나스 (NARS) 소프트 매트 컴플리트 컨실러 마카다미아,에스쁘아 컨투어 파우더 라이트 그레이,미샤 터치 온 컨투어 팔레트 ,어퓨 미네랄 모노 섀도우 PK05,미샤 래쉬-톡 컬러 마스카라 라즈베리,아이크라운 하드캐리 구원카라 오로라 픽서 ,에뛰드하우스 디어 달링 워터젤 틴트 (아이스크림) PK005 오피치레드,글로시에 립글로스 ,에뛰드하우스 닥터마스카라 픽서 포 슈퍼 롱래쉬 ,,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Lavender Pink | SSIN,https://youtu.be/GIr91Tl0XPU,12:55,828363,2018. 6. 29.,https://img.youtube.com/vi/GIr91Tl0XPU/0.jpg,슈에무라 스킨 퍼펙터 미스트 벚꽃(사쿠라) ,에뛰드하우스 픽스 앤 픽스 톤업 프라이머 [SPF33/PA++] 03호 라벤더,슈에무라 프레쉬 쿠션 블러쉬 히비스커스 핑크,클리오 킬커버 리퀴드 컨실러 003 리넨,클리오 킬커버 리퀴드 컨실러 005 샌드,에스쁘아 컨투어 파우더 라이트 그레이,미샤 듀얼 메이트 블러셔 04 그레이프 토핑,미샤 모던 섀도우 이탈프리즘 [쉬머] 1호 레이스셔링,라임 크라임 다이아몬드 크러셔 ,,,,,,,,,,,,,,,,,,,,,,,,
Overcoming the fear of PINK : Hot pink | SSIN,https://youtu.be/KcrMVkX_xBY,8:49,788915,2018. 5. 10.,https://img.youtube.com/vi/KcrMVkX_xBY/0.jpg,슈에무라 스킨 퍼펙터 미스트 벚꽃(사쿠라) ,피지오겔 카밍 릴리프 리스토어링 리피드밤 ,나스 (NARS) 소프트 매트 컴플리트 컨실러 마카다미아,더페이스샵 듀얼 컨투어 02 내추럴,나스 (NARS) 나스시스트 원티드 아이섀도우 팔레트 ,베네피트 (benefit) 구프 프루프 브로우 펜슬 3 미디움,,,,,,,,,,,,,,,,,,,,,,,,,,,
: 베이스 메이크업 [다크서클 없애부락리...] | SSINTIP,https://youtu.be/BPX3mtVOPBc,13:35,409019,2018. 9. 18.,https://img.youtube.com/vi/BPX3mtVOPBc/0.jpg,메디힐 (MEDIHEAL) 마스킹 레이어링 앰플 엑셀토닝샷 ,홀리카홀리카 하드커버 퍼펙팅 파운데이션 [SPF50+/PA++++] 04 허니,한율 컨실러 포 페이스 2호 은은한 베이지,에스쁘아 컨투어 파우더 라이트 그레이,디올 백스테이지 컨투어 팔레트 ,아리따움 애교살 볼류머 듀오 02 샤인베이지,아리따움 아이돌 워터프루프 아이펜슬 다크브라운,아리따움 아이돌 리얼 래쉬 픽서 ,,,,,,,,,,,,,,,,,,,,,,,,,
존좋 of 존좋 씬님의 존좋템중 1위만 소개하는,https://youtu.be/_HckTMuS8fA,25:25:00,574060,2018. 12. 8.,https://img.youtube.com/vi/_HckTMuS8fA/0.jpg,피지오겔 데일리 모이스쳐 테라피 페이셜 로션 ,베네피트 (benefit) 더 포어페셔널: 펄 프라이머 ,에스티 로더 (ESTEE LAUDER) 더블웨어 컬러 코렉팅 듀오 탠저린,나스 (NARS) 래디언트 크리미 컨실러 커스터드,에스쁘아 컨투어 파우더 라이트 그레이,아리따움 아이돌 리얼 래쉬 픽서 ,삐아 글리터 아이라이너 3 09 눈물샤워,,,,,,,,,,,,,,,,,,,,,,,,,,
